BrandID	BrandName	Count
1372147	A/HARIOT	10
1369995	A/KARMEL	6
297306	A1cNow	1
3051771	A2ZCDS	48
205782	A3	9
2730516	A4 tech	39
3051826	A440 Records	1
2396349	A4tech	87
3051828	A55 Films	1
1370182	AA	10
2016077	AA Drink	1
3051830	AA Publishing	1
805520	AAA	1
1714613	Aachi	58
183998	Aah! Bisto	68
2277358	Aalborg	4
3051832	AAOS	26
3051859	AAPG	1
2379771	AARON INDU	1
2512813	Aaron's Best	1
1370327	AARTS	18
2767987	AB	86
2512815	Ab American	6
2512822	Ab Cuts	3
694256	ABB	108
83687	Abba	31
2277380	Abbazia	1
1370394	ABBELEN	2
2512844	Abbey Farms	22
333168	Abbey Well	3
1370397	ABBEYWEL	2
555828	Abbitt's	7
2277381	Abbot Ale	2
2512869	Abbotsford Farms	3
297311	Abbott	17
300026	Abbott Ensure	202
300662	Abbott FreeStyle	29
2277385	Abbott Nutrition	8
2655809	Abbott Pedialyte	6
1351431	Abbott PediaSure	119
222500	Abbott Similac	199
1694311	ABBYY	6
22300	ABC	334
3051862	ABC Family	2
3051865	ABC Monsters	7
3051873	ABC News	16
3051890	ABC Records UK	10
1000900	ABCZ	47
3005030	Abdallah	8
2016268	Abdijbrood	2
297314	Abdomend	1
2016272	Abe	1
3005039	Abe's	8
333175	Abea	1
2016274	Abee	3
2512928	Abeles & Heymann	16
2277398	Abelha	2
205811	ABENA	3
885744	ABERCROMBIE & FITCH	1
2277402	Aberfeldy	1
333180	Aberlour	15
1370446	ABERT	26
694048	Abex	96
297316	Abexine	2
2416416	ABG	15
2280662	ABI	3
3442123	abibok	25
3051901	Abilene Christian Univ. Press	1
2277414	Abinda	10
3051903	Abingdon Press	28
2280172	ABK	1
297319	Abkit	1
2295211	ABL	20
2512955	Able Life	3
302649	Ableware	2
2512964	About Time	24
555842	Abra	28
2512993	Abraham	3
3051932	Abraham & Marcel Entertainment	1
3051934	Abrams ComicArts	1
297321	Abreva	5
2713932	ABRO	64
48701	ABSOLUT	260
333288	Absolute Aromas	25
555894	Absolute Nutrition	5
3051936	Absolute UK	1
1370604	ABSOLUTELY GLUTEN FREE	10
297149	Absonutrix African Mango Pure	1
