ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
3410545	6900634780016	Мишура фольга 6525-в3	1	Неклассифицированные/default	0	
491787	4603299190153	Мишура футбол 6x 200см ассорти	542785	Товары для праздников (folder)/Новогодние украшения	449794	Сноубум
762297	6412740057673	Мишура хвойная шишки 100см зеленый 5767	36595	Товары для праздников (folder)/Новый Год и Рождество	673842	Weiste
3855164	4627102221575	Мишура хвостик 200см	148348	Товары для праздников (folder)/Карнавальные костюмы	0	
1795630	8725140284449	Мишура хвоя 12см 2м	140298	Товары для праздников (folder)/Товары для праздника	0	
762298	8725140224292	Мишура цветочная 2м*12см 1041-2008	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
3855165	6438240651760	Мишура цыплята цв.ассорти	1	Неклассифицированные/default	0	
4847994	6907728136650	Мишура элегия блестящая Золотая 16смх 2м t66s	542785	Товары для праздников (folder)/Новогодние украшения	4833194	Холидей Классик
4847995	6907728084999	Мишура элегия блестящая светло-розовая 16см х 2м t66pi	542785	Товары для праздников (folder)/Новогодние украшения	4833194	Холидей Классик
4847996	6907728084937	Мишура элегия блестящая серебр.16смх 2м t 66g	542785	Товары для праздников (folder)/Новогодние украшения	4833194	Холидей Классик
4847997	6907728084951	Мишура элегия блестящая фиолетовая 16см х 2м t66pu	542785	Товары для праздников (folder)/Новогодние украшения	4833194	Холидей Классик
4847998	6907728084944	Мишура элегия блестящая фуксия 16см х 2м t66m	542785	Товары для праздников (folder)/Новогодние украшения	4833194	Холидей Классик
3855133	6438240466791	Мишура ёлочка двух цветная, ассорт	1	Неклассифицированные/default	0	
84068	4607088341559	Мишура № 19м-123 длина 2м	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
762203	4812849007081	Мишура №13 ,длина 2.0 м.м-109 двойная	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
3410466	4607088340088	Мишура №13 2м	1	Неклассифицированные/default	0	
762204	4812849007050	Мишура №15 ,длина 2.0 м.м-127	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
762205	4812849007074	Мишура №16 ,длина 2.0 м.м-110 двойная	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
762206	4812849007067	Мишура №17 ,длина 2.0 м.м-121	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
84066	4607088341320	Мишура №17 дл. 2 арт. м-121	36595	Товары для праздников (folder)/Новый Год и Рождество	0	
3410467	4607088341566	Мишура №19	1	Неклассифицированные/default	0	
3855107	4607088341825	Мишура №23	542785	Товары для праздников (folder)/Новогодние украшения	0	
3410468	4607088340033	Мишура №5 2м	1	Неклассифицированные/default	0	
3410469	4607088340163	Мишура №5/6 2м арт.м-116	1	Неклассифицированные/default	0	
762299	6412740060253	Мишура-нить 30ммх2м жемч/серебр.звезд/серебр.бусы 25428 вейст	36595	Товары для праздников (folder)/Новый Год и Рождество	684365	Вейст
762300	6412740060260	Мишура-нить 30ммх2м жемчужн/золот.звезд/серебр.бусы 25429 вейст	36595	Товары для праздников (folder)/Новый Год и Рождество	684365	Вейст
762301	6412740060277	Мишура-нить 30ммх2м жемчужн/красн звезд/золот.бусы 25430 вейст	36595	Товары для праздников (folder)/Новый Год и Рождество	684365	Вейст
3855166	4602006016625	Мишураded mor.пушистая зол.2м	542785	Товары для праздников (folder)/Новогодние украшения	3640380	DED MOROZ
