ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
192780	5000185101009	Jeyes wet ones citrus 20 large wipes	1	Неклассифицированные/default	192716	Jeyes
192781	5000185101016	Jeyes wet ones Ice Cool 20 large wipes	1	Неклассифицированные/default	192716	Jeyes
192782	50185160	Jeyes wet ones Original 20 large wipes	1	Неклассифицированные/default	192716	Jeyes
1506912	9556076200611	Jeypine 2l	163	Хозяйственные товары (folder)/Бытовая химия (folder)/Средство для стирки	0	
2609917	706055008021	Jez - en medio Del silencio CD cdof8021	2275105	Медиа (folder)/Медиа	0	
2609918	9771210540006	Jezdectvi me	331698	Полиграфия (folder)/Журнал	0	
3141258	091037609045	Jezebel sauce	330591	Продукты питания (folder)/Продукты питания	0	
1727451	885478000840	Jezebel women's posh thong,White,medium	150026	Одежда и обувь (folder)/Одежда	0	
1911064	071722613175	Jf luxurious 7.5oz b-Body Mousse	1	Неклассифицированные/default	0	
2806540	052833124088	Jf Mild cheddar Cheese 16oz	1	Неклассифицированные/default	0	
2806541	052833902082	Jf Mild cheddar Cheese 32oz	1	Неклассифицированные/default	0	
2806542	052833126167	Jf string Cheese 12oz	1	Неклассифицированные/default	0	
2159530	8993005116031	Jf sulfur 100g coklat	1	Неклассифицированные/default	0	
2159531	8993005116017	Jf sulfur 100g hijau	1	Неклассифицированные/default	0	
2159532	8993005116024	Jf sulfur 100g kuning	1	Неклассифицированные/default	0	
2159533	8993005116055	Jf sulfur 65g daily Care / hijau	1	Неклассифицированные/default	0	
2159534	8993005116062	Jf sulfur 65g Sensitive / coklat	1	Неклассифицированные/default	0	
2159535	8993005116048	Jf sulfur 65g treathment / kuning	1	Неклассифицированные/default	0	
1890057	4800110090801	Jf246 org 6svrs slm 250ml/4	1	Неклассифицированные/default	0	
1890058	4800110090795	Jf247 mango 6svrsslm 250ml/4	1	Неклассифицированные/default	0	
2556999	885631683651	Jf844a - hp e4210-24g switch	1	Неклассифицированные/default	0	
1911070	4809010955500	Jfarms rce Organic blk 2kg/10	1	Неклассифицированные/default	0	
1911071	4809010955517	Jfarms rce Organic blk 5kg/4	1	Неклассифицированные/default	0	
3141259	011152694740	Jfc baked fish cakes	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
3141260	011152041827	Jfc berkshire pork coarse sausage	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
3141261	011152054940	Jfc berkshire pork Mini sausage	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
1382965	011152027869	Jfc botan ame Rice candy 0.75 z	1	Неклассифицированные/default	2539120	Botan
3141262	011152290942	Jfc chili bits kaki no tane	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
1506913	011152156842	Jfc instant cup nama udon 8oz	260335	Продукты питания (folder)/Снэки	0	
2609920	011152024882	Jfc international beef gyoza	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609921	011152225753	Jfc international breadcrumb panko	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
610417	011152453439	Jfc international Coconut Milk 13.5oz	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
610418	011152453460	Jfc international Coconut Milk 5.5oz	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609922	011152107424	Jfc international ginger sushi jar	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609923	186190000065	Jfc international Noodle soup 4vrty dsp 64pcs	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609924	011152024585	Jfc international pork gyoza	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609925	011152276410	Jfc international seasoning furikake nori	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609926	011152038308	Jfc international sesame seed blk rstd	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609927	011152411699	Jfc international shrimp gyoza frz	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609928	011152404981	Jfc international shumai crab	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609929	011152086316	Jfc international shumai pork	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609930	011152403427	Jfc international shumai shrimp	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609931	011152426136	Jfc international snack Mix otokuyo	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
2609932	011152027043	Jfc international sundelic meijin sanuki udon	1	Неклассифицированные/default	610416	JFC INTERNATIONAL
3141263	903614201408	Jfc international, kani chips, crab	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
3141264	903614201422	Jfc international, Wheat snack	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
2609933	011152136127	Jfc japanese buckwheat noodles	1	Неклассифицированные/default	2609919	Jfc
1735472	011152083353	Jfc kimchi furikake, 1.7-ounce	622408	Продукты питания (folder)/Бакалея	0	
3141265	011152277264	Jfc Natural sea salt	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
3141266	011152047393	Jfc pickled plum	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
3141267	011152047423	Jfc pickled plum #2	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
2601563	011152136530	Jfc prepared sesame seed&seaweed (nori goma furikake)	1	Неклассифицированные/default	2601561	Hime
3141268	011152414645	Jfc Salmon furikake Rice seasoning	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
3141269	011152078878	Jfc shiso fumi furikake Rice seasoning	330591	Продукты питания (folder)/Продукты питания	2609919	Jfc
2609935	011152038513	Jfc tomoshiraga somen oriental style noodles	1	Неклассифицированные/default	2609919	Jfc
1506915	041410100201	Jfg coffee	1	Неклассифицированные/default	0	
1506916	041410100232	Jfg ground coffee brick	1	Неклассифицированные/default	0	
