ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
1478744	012587780497	Glad forceflex quick-tie 13 gallon tall kitchen bags	1	Неклассифицированные/default	300961	Glad
1478745	012587703212	Glad forceflex tall kitchen bags - 13 gallon	1	Неклассифицированные/default	300961	Glad
2591115	012587785379	Glad forceflex tear-resistant tall kitchen drawstring bags mega pack - 76 ct	1	Неклассифицированные/default	300961	Glad
2800609	012587780541	Glad frc flx qck tie 28 ct	1	Неклассифицированные/default	0	
2800610	012587780527	Glad frc flx qck tie tr 15 ct	1	Неклассифицированные/default	0	
1726945	4806013270401	Glad freezer 15g zip bags+af3M rfl	1374136	Хозяйственные товары (folder)/CLING WRAP/FILM/WAX	0	
2328046	4806013271750	Glad freezer bag l+glad Mini cling wrap	149195	Товары для праздников (folder)/Товары для вечеринок	0	
2328048	4806013271699	Glad freezer bag small+free crayons	3536	Хозяйственные товары (folder)/Хозяйственные товары	0	
1003744	067489104544	Glad freezer bags	1	Неклассифицированные/default	0	
1003745	067489104629	Glad freezer bags #2	1	Неклассифицированные/default	0	
2591116	012587784143	Glad freezerware small containers&lids - 4 ct	1	Неклассифицированные/default	300961	Glad
1478747	012587612972	Glad frzer	1	Неклассифицированные/default	300961	Glad
1003746	067489118251	Glad garbage bags	1	Неклассифицированные/default	0	
1003747	067489118336	Glad garbage bags #2	1	Неклассифицированные/default	0	
1478749	012587000656	Glad garbage bags #3	1	Неклассифицированные/default	300961	Glad
1478750	012587602362	Glad garbage bags #4	1	Неклассифицированные/default	300961	Glad
1904430	4806013230153	Glad gbag lrge 10s/30	1	Неклассифицированные/default	0	
1904431	4806013230146	Glad gbag med 10s/30	1	Неклассифицированные/default	0	
1904432	4806013230160	Glad gbag xl 10s/30	1	Неклассифицированные/default	0	
1904433	4806013230184	Glad gppr cknbke refl 30x5 m/48	1	Неклассифицированные/default	0	
1904434	4806013230030	Glad gppr cook n bake 30x5 m/24	1	Неклассифицированные/default	0	
1478751	012587550939	Glad grb bg w/htie	1	Неклассифицированные/default	300961	Glad
1478753	012587602287	Glad handl tie bag	1	Неклассифицированные/default	300961	Glad
1478754	012587550731	Glad handle-ti tr/bg	1	Неклассифицированные/default	300961	Glad
1478755	012587571057	Glad handle-ti tr/bg #2	1	Неклассифицированные/default	300961	Glad
2591117	012587607640	Glad handle-tie 13 gallon tall kitchen bags	1	Неклассифицированные/default	300961	Glad
1478798	012587700365	Glad handle-tie kitchen bags tall - 26 ct	1	Неклассифицированные/default	300961	Glad
