ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
1758254	4603593000714	Палочки вафел.с арах.в йог.420г	25	Продукты питания (folder)/Кондитерские изделия (folder)/Вафли	0	
3458125	4610003545895	Палочки верные друзья говяжьи 80г	1	Неклассифицированные/default	687285	Верные Друзья
3458126	4610003545949	Палочки верные друзья для собак всех пород утиные 80г	1	Неклассифицированные/default	687285	Верные Друзья
3458127	4660004139203	Палочки вижер ванильные 200г мяг/уп	1	Неклассифицированные/default	0	
3458128	4660004139555	Палочки вижер ванильные 200г мяг/уп #2	1	Неклассифицированные/default	0	
3458129	4660004139210	Палочки вижер с сыром 200г мяг/уп	1	Неклассифицированные/default	0	
3458130	4660004139449	Палочки вижер с сыром 200г мяг/уп #2	1	Неклассифицированные/default	0	
98613	4607008345087	Палочки витар медовые с кокосом 230г	38561	Продукты питания (folder)/Кондитерские изделия (folder)/Кондитерские изделия мучные	98611	Витар
98614	4607008345018	Палочки витар медовые с орехом 230г	38561	Продукты питания (folder)/Кондитерские изделия (folder)/Кондитерские изделия мучные	98611	Витар
2907589	4690538009307	Палочки витые с начинкой мини - мягкая упаковка	1	Неклассифицированные/default	0	
98615	8000350000585	Палочки виченци с сахар.помадкой 200г	38561	Продукты питания (folder)/Кондитерские изделия (folder)/Кондитерские изделия мучные	665874	Vicenzi
2907590	4770190105026	Палочки вичи крабов.с мясом натур краба охл 200г	1	Неклассифицированные/default	37382	VICI
3458131	6957342930035	Палочки вк сладкие стики tatoo микс 10г м/у	1	Неклассифицированные/default	0	
98649	4607029100504	Палочки воздушные альпинтех	19035	Товары для животных (folder)/Корм для животных (folder)/Корм для собак	50440	Альпинтех
2907592	4607148051336	Палочки волшебные кур .обжар.5кг .(Золотая корочка)	1	Неклассифицированные/default	0	
3458132	4699300867374	Палочки волшебные куриные 500г м/у	1	Неклассифицированные/default	0	
98650	4000522061585	Палочки вольф стиклити солен. 75г	38561	Продукты питания (folder)/Кондитерские изделия (folder)/Кондитерские изделия мучные	0	
3458133	4605430000635	Палочки Гармония вкуса сдобные хлебные 250г мяг/уп	1	Неклассифицированные/default	0	
3458134	4605430002943	Палочки Гармония вкуса хлебные с отрубями 250г мяг/уп	1	Неклассифицированные/default	0	
1278216	4820009790179	Палочки гигиенические виола 100шт	1	Неклассифицированные/default	0	
1278217	4820009790421	Палочки гигиенические виола голубые 200шт	1	Неклассифицированные/default	0	
450541	4820009790216	Палочки гигиенические Виола п/эт 100шт	217	Гигиена (folder)/Вата и ватные изделия	0	
450545	4820009790162	Палочки гигиенические Виола розовые 200шт	217	Гигиена (folder)/Вата и ватные изделия	0	
3458135	4607131405788	Палочки глазовская птица куриные 500г контейнер	1	Неклассифицированные/default	0	
2466186	4607026082223	Палочки горбуши суш 100г главфиш	260335	Продукты питания (folder)/Снэки	0	
2466187	4607026082247	Палочки горбуши суш. 75г главфиш	260335	Продукты питания (folder)/Снэки	0	
3458136	4600713006618	Палочки гресины, соленые, 135г, м/у	1	Неклассифицированные/default	0	
98655	8002333009165	Палочки грицини натуральные 125г	49503	Продукты питания (folder)/Хлебцы	98654	Грицини
785918	8001405021005	Палочки грицини туринские 12.5г	49503	Продукты питания (folder)/Хлебцы	98654	Грицини
3458137	4607014550536	Палочки дальпико лососевые сушеные вак уп 100г	1	Неклассифицированные/default	0	
3458138	4607014552585	Палочки дальпико лососевые сушеные вак уп 45г	1	Неклассифицированные/default	0	
3458139	4607014555883	Палочки дальпико лососевые сушеные, вак уп 100г	1	Неклассифицированные/default	37069	Дальпико
3458140	4607014559232	Палочки дальпико лососевые сушеные, вак уп 70г	1	Неклассифицированные/default	0	
3458141	4607014550512	Палочки дальпико-рыбсервис лососевые сушеные вак уп 60г	1	Неклассифицированные/default	37069	Дальпико
2911149	4604921000789	Палочки дарлетто сдобные с земляничным джемом 370г м/у	21865	Продукты питания (folder)/Кондитерские изделия (folder)/Печенье	3278780	дарлетто
2911150	4604921000772	Палочки дарлетто сдобные с малиной 370г мяг/уп	21865	Продукты питания (folder)/Кондитерские изделия (folder)/Печенье	3278780	дарлетто
3458142	4604921001472	Палочки дарлетто сдобные с черносмородиновым джемом 370г м/уп	1	Неклассифицированные/default	3278780	дарлетто
4850823	4641141228395	Палочки дары льняные в шок.с бананом лен 388 200г	279339	Продукты питания (folder)/Диетические продукты	4842734	Дары
3458143	4612728140515	Палочки дв из кижуча сушено вяленые 100г м/уп	1	Неклассифицированные/default	0	
