ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
3162154	028585801034	Miso Salmon with udon noodles	330591	Продукты питания (folder)/Продукты питания	0	
1542046	059443602050	Miso sauce Organic	1	Неклассифицированные/default	0	
3162155	722764010063	Miso sesame dressing	330591	Продукты питания (folder)/Продукты питания	0	
4526555	853192001252	Miso soup	1	Неклассифицированные/default	0	
3162156	851702007282	Miso soup with chicken bone broth	330591	Продукты питания (folder)/Продукты питания	0	
3162157	858764000046	Miso soybean paste	330591	Продукты питания (folder)/Продукты питания	0	
2634117	5060366570024	Miso tasty Classic shiro miso soup 10x4 x 20g	1	Неклассифицированные/default	2634116	Miso Tasty
2634118	5060366570031	Miso tasty spicy aka miso soup 10x4 x 20g	1	Неклассифицированные/default	2634116	Miso Tasty
1542047	074873090871	Miso tub mellow barly	1	Неклассифицированные/default	0	
3162158	021130069514	Miso udon Noodle salad	330591	Продукты питания (folder)/Продукты питания	0	
3162159	088177227819	Miso vinaigrette dressing&sauce	330591	Продукты питания (folder)/Продукты питания	0	
1542048	694573041043	Miso w/ tofu	1	Неклассифицированные/default	0	
3162160	729328005060	Miso&chia seed creamy ranch	330591	Продукты питания (folder)/Продукты питания	0	
3162161	892565002700	Miso&Easy broth concentrate	330591	Продукты питания (folder)/Продукты питания	0	
1542049	074873090178	Miso, brown Rice	1	Неклассифицированные/default	0	
3162162	858764000121	Miso, soyabean paste	330591	Продукты питания (folder)/Продукты питания	0	
3162163	858764000039	Miso, soybean paste.	330591	Продукты питания (folder)/Продукты питания	0	
4526557	806592938222	Misook sunset cardigan	1	Неклассифицированные/default	0	
1061811	359762500717	Misoprost tab 100mcg gre 60@	1	Неклассифицированные/default	0	
1061812	301724430594	Misoprost tab 100mcg iva 120@	1	Неклассифицированные/default	0	
1061814	359762500823	Misoprost tab 200mcg grn 100@	1	Неклассифицированные/default	0	
1061816	301724431607	Misoprost tab 200mcg iva 100@	1	Неклассифицированные/default	0	
1061819	017244305938	Misoprostol 100mcg 1	1	Неклассифицированные/default	0	
1061820	017244304948	Misoprostol 100mcg 6	1	Неклассифицированные/default	0	
1061821	017244316064	Misoprostol 200mcg 1	1	Неклассифицированные/default	0	
1061822	017244314916	Misoprostol 200mcg 6	1	Неклассифицированные/default	0	
1542053	6291049221257	Misparris soap Passion/Green 125g	1	Неклассифицированные/default	3706345	MISS PARIS (SILK ROUTE BEAUTY PRODUCTS/UAE)
1542054	6291049211258	Misparris soap romance/pink 125g	1	Неклассифицированные/default	3706345	MISS PARIS (SILK ROUTE BEAUTY PRODUCTS/UAE)
2172772	8710415912448	Mispelblom	1	Неклассифицированные/default	2172771	Mispelblom
4526558	677047006250	Misprint records 12oz cariani itln Dry sliced salami	1	Неклассифицированные/default	0	
4526559	6221236921134	Misr for industries trade mintra 8.5 by 11inch mintra creations (tm) notebook spiral bound, 192 sheets, 6 subjects with divider	1	Неклассифицированные/default	0	
3706310	5902305002183	Miss (barwa/poland) br 0.1kg	146	Гигиена (folder)/Мыло	3706309	MISS (BARWA/POLAND)
