ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
3427893	6990008136730	Набор подвесок колокольчик 8см 5шт	1	Неклассифицированные/default	0	
772390	4606500227440	Набор подвесок курочка войлок 12см 3шт hqc04-2548	1	Неклассифицированные/default	680876	7Цветов-Декор
772391	4606500227464	Набор подвесок курочка войлок 12см 3шт hqc04-2550	1	Неклассифицированные/default	680876	7Цветов-Декор
2248905	4606066124900	Набор подвесок новогодние лакомства 4шт 9см пвх	542785	Товары для праздников (folder)/Новогодние украшения	54157	Лунтен Ранта
1266079	4606066107781	Набор подвесок пасхальный подарок 4шт 60778	30792	Товары для праздников (folder)/Пасха	18812	Home Queen
1266080	4606066107811	Набор подвесок с рисунком 6см 6шт 60781	30792	Товары для праздников (folder)/Пасха	18812	Home Queen
3427894	6934545668026	Набор подвесок сосульки витые 14см 6шт	1	Неклассифицированные/default	0	
3427895	6934545667821	Набор подвесок сосульки витые 16см 4шт	1	Неклассифицированные/default	0	
3427896	4603299164147	Набор подвесок шишки 13см 3шт	1	Неклассифицированные/default	0	
3427897	6933013371581	Набор подводник для купания для детей арт 0812	1	Неклассифицированные/default	0	
2461507	4600001553909	Набор подводный мир	980	Игрушки (folder)/Игрушка	0	
3861522	6905505475541	Набор подвязок для растений 2шт	3608246	Растениеводство/Кашпо,горшки и держатели	0	
3861523	6905505475459	Набор подвязок для растений 50шт	3608246	Растениеводство/Кашпо,горшки и держатели	0	
91405	6901612071331	Набор подвязок листок для раст.100шт 10213	561877	Растениеводство/Товары для садоводства	0	
91406	8013504010231	Набор подвязок листок для раст.3308	561877	Растениеводство/Товары для садоводства	0	
91407	6901612065149	Набор подвязок листок для раст.3319/18/20/	561877	Растениеводство/Товары для садоводства	3692373	LISTOK
2959593	8013504010187	Набор подвязок листок для раст.3319/18/20/ #2	561877	Растениеводство/Товары для садоводства	3692373	LISTOK
2959594	8013504010217	Набор подвязок листок для раст.3319/18/20/ #3	561877	Растениеводство/Товары для садоводства	3692373	LISTOK
2959595	8013504010194	Набор подвязок листок для раст.3319/18/20/ #4	561877	Растениеводство/Товары для садоводства	0	
2959596	8013504010200	Набор подвязок листок для раст.3319/18/20/ #5	561877	Растениеводство/Товары для садоводства	3692373	LISTOK
2959597	6901612065163	Набор подвязок листок для раст.3319/18/20/ #6	561877	Растениеводство/Товары для садоводства	3692373	LISTOK
2959598	6901612065156	Набор подвязок листок для раст.3319/18/20/ #7	561877	Растениеводство/Товары для садоводства	0	
91409	6901612065187	Набор подвязок цапля для раст.3304	561877	Растениеводство/Товары для садоводства	0	
178650	4606224022840	Набор поддонов для бумаг Brauberg-Maxi 2шт с расширителями серый арт. 231361 плс	232356	Канцелярские товары (folder)/Лоток для бумаг	175956	BRAUBERG
178651	4606224022833	Набор поддонов для бумаг Brauberg-Maxi 2шт с расширителями черный арт. 231360 плс	232356	Канцелярские товары (folder)/Лоток для бумаг	175956	BRAUBERG
178652	4606224011479	Набор поддонов для бумаг Brauberg-smart 3шт синий арт.231047 плс	232356	Канцелярские товары (folder)/Лоток для бумаг	175956	BRAUBERG
772392	3154147550106	Набор поддонов для бумаг Maped (Франция) clear office 3шт, модульная конструкция, синий, 755010	1	Неклассифицированные/default	3	Maped
2969506	4895124424025	Набор подносов 2шт прямоуг вк707	322204	Посуда (folder)/Поднос	1207002	Bekker
772394	6944217202922	Набор подносов 774bg	322204	Посуда (folder)/Поднос	0	
1266082	4895124424056	Набор подносов Bekker 2шт вк-749	2420630	Посуда (folder)/Посуда кухонная	1207002	Bekker
91410	4895124463567	Набор подносов Calve 2предм 23511/2536	322204	Посуда (folder)/Поднос	36576	Calve посуда
91411	4895124463574	Набор подносов Calve 2предм 23512/2537	322204	Посуда (folder)/Поднос	36576	Calve посуда
91412	4895124463598	Набор подносов Calve 2предм 23514/2539	322204	Посуда (folder)/Поднос	36576	Calve посуда
91413	4895124463628	Набор подносов Calve 2предм 23517/2542	322204	Посуда (folder)/Поднос	36576	Calve посуда
91414	4895124463611	Набор подносов Calve 2предм cl2541	322204	Посуда (folder)/Поднос	36576	Calve посуда
91415	4895124463604	Набор подносов Calve 3предм 23515/2540	322204	Посуда (folder)/Поднос	36576	Calve посуда
3427898	4690203031985	Набор подносов mayer&boch 3шт арт mb-3676	1	Неклассифицированные/default	0	
772395	4620757930625	Набор подносов бамбук 3шт y-804	322204	Посуда (folder)/Поднос	701667	Ксиамен
772396	4600010348930	Набор подносов зебра хоум бамбук 3шт 34893	322204	Посуда (folder)/Поднос	676613	Зебра Хоум
2461508	4814940023229	Набор подносов из пластм 3шт арт 9901	1	Неклассифицированные/default	0	
1685377	4814940023236	Набор подносов из пластм 3шт арт 9905	1	Неклассифицированные/default	0	
1685378	4814940023205	Набор подносов из пластм 3шт арт 9926	1	Неклассифицированные/default	0	
1685379	4814940023212	Набор подносов из пластм 3шт арт 9926 #2	1	Неклассифицированные/default	0	
3427899	6944217234596	Набор подносов сервировочных 3шт кн1745	1	Неклассифицированные/default	0	
3427900	6951119647126	Набор подносов сервировочных 3шт кн1745 #2	1	Неклассифицированные/default	0	
772393	6944217247763	Набор подносов хром.сталь 2предм	322204	Посуда (folder)/Поднос	723582	Роялтон Групп
2900863	4660007562329	Набор подпроч белый медведь 0.240	1	Неклассифицированные/default	0	
772398	8788424508860	Набор подсв+св.лоуман 26.3x17.2x 4цв 0886-2007	3541537	Сувениры и подарки (folder)/Сувенир	41750	Лоуман
772399	8725140280977	Набор подсв+св/1шт 17.3x13.3x4	551086	Неклассифицированные/HomeDecor	0	
772400	8788424508853	Набор подсв+св/2шт 19.8x18.3x4	551086	Неклассифицированные/HomeDecor	0	
772397	6930518912387	Набор подсв.для античной св.венок 8.5x28.5x28.5см nat/74 нингбо	36595	Товары для праздников (folder)/Новый Год и Рождество	681012	Нингбо
772401	742450656689	Набор подсвечн+чайн.свеча+насвечник акрил.5a2017 rл ловемарк	3541537	Сувениры и подарки (folder)/Сувенир	715711	Ловемарк
772402	742450656726	Набор подсвечн+чайн.свеча+насвечник.5a 2415g ловемарк	3541537	Сувениры и подарки (folder)/Сувенир	715711	Ловемарк
772403	742450656702	Набор подсвечн+чайн.свеча+насвечник.5a2415 p ловемарк	3541537	Сувениры и подарки (folder)/Сувенир	715711	Ловемарк
495793	6930518919331	Набор подсвечн.+свеча 10x7.5см асс.	14599	Хозяйственные товары (folder)/Свечи	0	
495794	6930519664254	Набор подсвечн.+свечи 2 чайные асс.	14599	Хозяйственные товары (folder)/Свечи	0	
772404	742450655088	Набор подсвечник + свечи 08gss1277-p ловемарк	3541537	Сувениры и подарки (folder)/Сувенир	715711	Ловемарк
3861535	8718158490452	Набор подсвечник Золото 3шт	542785	Товары для праздников (folder)/Новогодние украшения	0	
772405	6918641254727	Набор подсвечник ов 2шт	551086	Неклассифицированные/HomeDecor	0	
772406	4894329861154	Набор подсвечник ов стекл gk324	551086	Неклассифицированные/HomeDecor	0	
3861536	8718158490377	Набор подсвечник серебро 3шт	542785	Товары для праздников (folder)/Новогодние украшения	0	
772407	6913991373937	Набор подсвечник со свеч 3шт	551086	Неклассифицированные/HomeDecor	0	
772408	6913791412294	Набор подсвечник со свеч.4шт	551086	Неклассифицированные/HomeDecor	0	
3427901	6907001601103	Набор подсвечник со свечой пвх металл	1	Неклассифицированные/default	0	
