ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
1746247	730838529236	Robeez Special occasion slip-on (infant),White,6-12 months m us infant	15348	Одежда и обувь (folder)/Обувь (folder)/Обувь	0	
1746248	730838528673	Robeez stripe Soft sole slip-on (infant),multi,6-12 months m us infant	15348	Одежда и обувь (folder)/Обувь (folder)/Обувь	0	
1746249	730838528963	Robeez summer fun Soft sole slip-on (infant),Green,12-18 months m us infant	15348	Одежда и обувь (folder)/Обувь (folder)/Обувь	0	
1746250	730838528956	Robeez summer fun Soft sole slip-on (infant),Green,6-12 months m us infant	15348	Одежда и обувь (folder)/Обувь (folder)/Обувь	0	
4629273	020673170107	Robert alan candle company 4ct household candles	1	Неклассифицированные/default	0	
4629274	789577195127	Robert alex mallo pray for me.	1	Неклассифицированные/default	0	
4629275	024543231578	Robert altman collection 4pk (DVD)	1	Неклассифицированные/default	0	
4629276	073999202052	Robert altman's jazz '34: remembrances of kansas city swing vhs 6oz	1	Неклассифицированные/default	0	
4629277	196652545874	Robert and mandy france - next to you CD	1	Неклассифицированные/default	0	
4629278	071195023952	Robert aplejuice	1	Неклассифицированные/default	0	
4629279	783707011608	Robert baldwin offering CD	1	Неклассифицированные/default	0	
4629280	054956253102	Robert bob valve 1 R400-1	1	Неклассифицированные/default	0	
4629281	054956269004	Robert brass stem R450-10	1	Неклассифицированные/default	0	
4629282	035023072208	Robert burkhardt 19oz / 540g curry ketchup, burkhardt	1	Неклассифицированные/default	0	
2382573	5060044482397	Robert burns single malt whisky 700ml	22172	Продукты питания (folder)/Алкогольные напитки/Виски	2382572	Robert Burns
1628071	031700000250	Robert butn tiparillo reg pk 5ct	1	Неклассифицированные/default	0	
4629283	031700012253	Robert butn tiparillo reg pk 5ct 1ct	1	Неклассифицированные/default	0	
4629284	080469000056	Robert c. bishop 4inch x 6inch r.c. bishop postcard, po Box 1777, Grand junction, co 81502	1	Неклассифицированные/default	0	
2191918	3760032562255	Robert cantin	1	Неклассифицированные/default	2191917	Robert Cantin
1590904	020673800813	Robert ceramic bag	1	Неклассифицированные/default	0	
2382575	761503311450	Robert chevillon bourgogne passetoutgrain glass 750ml	1	Неклассифицированные/default	0	
2382574	761503311412	Robert chevillon nuits Saint georges blanc vieilles vinges glass 750ml	1	Неклассифицированные/default	0	
2382576	761503311399	Robert chevillon nuits Saint georges vieilles vignes glass 750ml	1	Неклассифицированные/default	0	
2382577	761503311405	Robert chevillon nuits sanit georges ler cru les vaucrains glass 750ml	1	Неклассифицированные/default	0	
2668915	761503311443	Robert chevillon nuits st georges blanc vielles vignes glass 750ml	1	Неклассифицированные/default	0	
2776904	7615030000000	Robert chevillon nuits st georges les bousselots glass 750ml	1	Неклассифицированные/default	0	
646256	5705250165015	Robert chicken cocktail sausage 227g	1	Неклассифицированные/default	0	
646257	5705250162502	Robert chicken luncheon meat 200g	1	Неклассифицированные/default	0	
646258	5705250162526	Robert chicken luncheon meat 200g Hot Spice	1	Неклассифицированные/default	0	
646259	5705250162519	Robert chicken luncheon meat 340g	1	Неклассифицированные/default	0	
646260	5705250162557	Robert chicken luncheon meat 600g parsley	1	Неклассифицированные/default	0	
646261	5701758012011	Robert chicken luncheon meat 850g	1	Неклассифицированные/default	0	
646262	5705250162588	Robert chicken luncheon meat garlic 600g	1	Неклассифицированные/default	0	
646263	5705250162533	Robert chicken luncheon meat Hot 340g	1	Неклассифицированные/default	0	
2191920	5410746019832	Robert claudin	1	Неклассифицированные/default	2191919	Robert Claudin
2191921	8710624125707	Robert claudin #2	1	Неклассифицированные/default	2191919	Robert Claudin
4629285	3194440630310	Robert clauss cie 200 pages erc? - dixy bloc notes	1	Неклассифицированные/default	0	
409711	893924000016	Robert craig affinity glass 750ml	1	Неклассифицированные/default	0	
409712	893924000023	Robert craig Cabernet Sauvignon glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
2827172	893924000146	Robert craig Chardonnay glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
409713	893924000085	Robert craig durell Chardonnay glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
409714	893924000030	Robert craig howell mountain Cabernet Sauvignon glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
409715	893924000108	Robert craig howell mountain Zinfandel glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
4629286	089046794418	Robert de schlumberger Wine 750ml	1	Неклассифицированные/default	0	
2382578	761503521309	Robert denogent beaujolais villages jules chauvet glass 750ml	1	Неклассифицированные/default	0	
2382579	761503521347	Robert denogent pouilly fuisse La croix glass 375ml	1	Неклассифицированные/default	0	
2382580	761503521323	Robert denogent pouilly vinzelles les longeays glass 750ml	1	Неклассифицированные/default	0	
4629287	054956261602	Robert disc 3/4 R400-73	1	Неклассифицированные/default	0	
4629288	767685115664	Robert drew collection jfk revealed (DVD/2 disc)	1	Неклассифицированные/default	0	
4629289	733961730883	Robert E lee (DVD)	1	Неклассифицированные/default	0	
409716	651032057786	Robert E Wood plastic Palette 16-1/2x11-5/8	331156	Товары для творчества (folder)/Живопись и рисования (folder)/Товары для художников	0	
4629290	733961731194	Robert f kennedy (DVD)	1	Неклассифицированные/default	0	
4629291	032031701991	Robert falcon scott (DVD)	1	Неклассифицированные/default	0	
4629292	196658457775	Robert france mandy france - dreams of Love CD	1	Неклассифицированные/default	0	
646264	5705250165206	Robert Frank Fruit sausage 227g	1	Неклассифицированные/default	0	
4629293	012233298420	Robert Frost-New england in autumn (DVD)	1	Неклассифицированные/default	0	
4629294	741364062623	Robert furber Flower of the month print august	1	Неклассифицированные/default	0	
4629295	634479667893	Robert german-unplug limited edition CD single 4oz	1	Неклассифицированные/default	0	
4629296	891329001003	Robert goodman wines 50lb Cat genie, 2 cart, 2 gran	1	Неклассифицированные/default	0	
1727677	709390821607	Robert graham men's tapestry leather belt, brown, 34	150026	Одежда и обувь (folder)/Одежда	0	
4629297	095141000095	Robert graham shirt	1	Неклассифицированные/default	0	
1590905	830949000201	Robert hall paso robles alvarelhao touriga glass 750ml	1	Неклассифицированные/default	0	
409718	830949000133	Robert hall paso robles Chardonnay glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
409720	830949000157	Robert hall paso robles Merlot glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
1590907	830949000188	Robert hall paso robles Orange muscat glass 750ml	1	Неклассифицированные/default	0	
409719	830949000195	Robert hall paso robles Red Wine glass 750ml	1	Неклассифицированные/default	0	
1590908	830949000119	Robert hall paso robles Sauvignon blanc glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
409721	830949000171	Robert hall paso robles syrah glass 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
1590909	830949000270	Robert hall paso robles viognier glass 750ml	1	Неклассифицированные/default	0	
1590910	830949000225	Robert hall rhone de robles paso robles Red Wine glass 750ml	1	Неклассифицированные/default	0	
2382581	830949000164	Robert hall rzn 14, paso robles glass 750ml	1	Неклассифицированные/default	0	
1590906	830949000140	Robert hall winery 750ml 2001 Robert hall Cabernet Sauvignon	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
3196700	814351020026	Robert irvine Foods, cheesecake, chocolate swirl	330591	Продукты питания (folder)/Продукты питания	0	
2668917	839138003634	Robert irvine fortifx fit crunch cookies and Cream - 6 ct	1	Неклассифицированные/default	2668916	Robert Irvine Fortifx
2668918	839138003627	Robert irvine fortifx fit crunch Peanut Butter - 6 ct	1	Неклассифицированные/default	2668916	Robert Irvine Fortifx
2668919	074644911398	Robert Johnson - the search for Robert j DVD 491139	4093300	Медиа (folder)/Media	0	
409722	638489001142	Robert Johnson's hellhound on my ale glass 750ml	1	Неклассифицированные/default	0	
1116201	023024000009	Robert kacher andre brunel l'enclos	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116202	087396000425	Robert kacher andre brunel les cailloux cdp	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116203	023025000008	Robert kacher andre brunel sabrin cdr	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116204	855260501015	Robert kacher brunel cdr sabrine 01 brunel cdr sabrine 01 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409626	087396004270	Robert kacher brunel enclos Rouge 03 brunel enclos Rouge 03 750ml /12	78617	Продукты питания (folder)/Алкогольные напитки/Алкоголь	1116200	ROBERT KACHER
1116205	087396006441	Robert kacher burgaud morgon vieilles vgne burgaud morgon vieilles vgne 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116206	087396006878	Robert kacher burgaud regnie vallieres burgaud regnie vallieres 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409670	087396004027	Robert kacher chat campuget blanc 02 chat campuget blanc 02 750ml /12	78617	Продукты питания (folder)/Алкогольные напитки/Алкоголь	1116200	ROBERT KACHER
409629	087396004003	Robert kacher chat campuget cuvee Prestige chat campuget cuvee Prestige 750ml /12	78617	Продукты питания (folder)/Алкогольные напитки/Алкоголь	1116200	ROBERT KACHER
409667	087396004034	Robert kacher chat campuget Merlot 03 chat campuget Merlot 03 750ml /12	78617	Продукты питания (folder)/Алкогольные напитки/Алкоголь	1116200	ROBERT KACHER
409666	087396004010	Robert kacher chat campuget Rouge chat campuget Rouge 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
409630	087396004041	Robert kacher chat campuget viognier 03 chat campuget viognier 750ml /12	78617	Продукты питания (folder)/Алкогольные напитки/Алкоголь	1116200	ROBERT KACHER
1116207	087396006472	Robert kacher chat gr cassagne hippo blanc chat gr cassagne hippo blanc 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409650	087396004102	Robert kacher chat gr cassagne le triage02 chat gr cassagne le triage02 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
409652	087396004119	Robert kacher chat Grand cassange Rose 04 chat Grand cassange Rose 04 750ml /12	78617	Продукты питания (folder)/Алкогольные напитки/Алкоголь	1116200	ROBERT KACHER
1116208	230780000000	Robert kacher dom bertrand ambrse rom bl02 dom bertrand ambrse rom bl02 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116209	700580000000	Robert kacher dom morey fils chas-mont 1er dom morey fils chas-mont 1er 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
361406	087396006113	Robert kacher domain Thomas fils sancerre domain Thomas fils sancerre 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
1116210	7012000000006	Robert kacher domaine a brunel criloux 01 domaine a brunel criloux 01 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409631	087396004072	Robert kacher domaine cantareles cab/syrah domaine cantareles cab/syrah 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
409680	087396004584	Robert kacher domaine de pouy domaine de pouy 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
1116211	083960043171	Robert kacher domaine fondreche cdv fayard domaine fondreche cdv fayard 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116212	7011900000000	Robert kacher domaine fondreche fayard domaine fondreche fayard 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409643	087396006205	Robert kacher domaine fondreche michle cdp domaine fondreche michle cdp 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
1116213	7010900000003	Robert kacher domaine nugues beauj vlgs domaine nugues beauj vlgs 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116214	700610000000	Robert kacher domaine philippe quincy domaine philippe quincy 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409686	087396004423	Robert kacher domaine st antoine syrah domaine st antoine syrah 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
1116215	7011200000007	Robert kacher domaine thibert pouly-vinz01 domaine thibert pouly-vinz01 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409640	087396006755	Robert kacher fondreche nadal cdv fondreche nadal cdv 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
385261	087396006977	Robert kacher fonte vent michelle fonte vent michelle 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116216	087396006588	Robert kacher grange rouq marsane vioginer grange rouq marsane vioginer 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
409619	087396006380	Robert kacher Henri boillot borgogne 02 Henri boillot borgogne 02 750ml /12	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	1116200	ROBERT KACHER
1116217	7006500000000	Robert kacher Henri boillot chass-montr 02 Henri boillot chass-montr 02 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116218	7006700000008	Robert kacher Henri boillot mersault 02 Henri boillot mersault 02 750ml /12	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116219	070067000008	Robert kacher Henri boillot meursault	1	Неклассифицированные/default	1116200	ROBERT KACHER
1116220	070065000000	Robert kacher Henri boillot montrachet	1	Неклассифицированные/default	1116200	ROBERT KACHER
