ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
2059210	3333241106079	Chablis	1	Неклассифицированные/default	2059209	Chablis
939248	087113111946	Chablis 1er cru les vaucopins Long-depaquit blanc 2004	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
939249	087113111991	Chablis 1er cru les vaucopins Long-depaquit blanc 2005	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
939250	3451493750045	Chablis 1er cru vau de vey domaine malandes blanc 2005	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
939251	3452460000934	Chablis 1er cru vaulignot louis moreau blanc 2007	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
2786906	894510000946	Chablis 2015 glass 750ml	1	Неклассифицированные/default	0	
939252	3443620114493	Chablis les champs royaux William fevre blanc 2006	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
939253	3443620129909	Chablis les champs royaux William fevre blanc 2007	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
939254	3491630200712	Chablis louis michel blanc 2006	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
576551	3151850001772	Chablis Paul Del sgl 750ml	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
939255	3760082220020	Chablis seguinot-bordet blanc 2006	41821	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вина Франции	0	
939256	3700360061327	Chablis terroirs de chablis verget Rouge 2006	22133	Продукты питания (folder)/Алкогольные напитки/Вино (folder)/Вино	0	
4249983	3260980026040	Chablis White Wine 2008 750ml	1	Неклассифицированные/default	0	
2786907	815735011142	Chablisienne pas si petit chablis 2014 glass 750ml	1	Неклассифицированные/default	0	
3633548	3261090052431	Chabot de luxe VSOP a 0.7l	22210	Продукты питания (folder)/Алкогольные напитки/Коньяк	3633547	CHABOT
3633550	3261090052165	Chabot napoleon a 0.7l Box	22210	Продукты питания (folder)/Алкогольные напитки/Коньяк	3633547	CHABOT
4249984	698452203133	Chabrol c-claude chabrols tale of deceit (DVD/5 disc)	1	Неклассифицированные/default	0	
2551211	610077173226	Chabuca granda/Oscar aviles - dialogando CD cdof1732	4093300	Медиа (folder)/Media	0	
4249985	082815030564	Chaby folding golf umbrella 1ct	1	Неклассифицированные/default	0	
4249986	082815305648	Chaby folding golf umbrella 1ct 1ct	1	Неклассифицированные/default	0	
2551213	082815106702	Chaby international umbrella batman	1	Неклассифицированные/default	2551212	Chaby
4249987	037604999942	Chaby umbr/lthr acc dsply	1	Неклассифицированные/default	0	
4249988	082815725903	Chaby umbrella empty rack 1ct	1	Неклассифицированные/default	0	
4249989	082815259033	Chaby umbrella empty rack 1ct 1ct	1	Неклассифицированные/default	0	
939257	025929112306	Chacal pdt spray 55ml	3068	Парфюмерия (folder)/Парфюмерия	0	
4249990	787364660391	Chacales calle 2pk (DVD)	1	Неклассифицированные/default	0	
3028449	769087006236	Chacalines salted cooked shrimp	330591	Продукты питания (folder)/Продукты питания	0	
3028450	853299003593	Chacewater, California olive Oil Extra virgin	330591	Продукты питания (folder)/Продукты питания	0	
3028451	853299003609	Chacewater, California olive Oil Extra virgin #2	330591	Продукты питания (folder)/Продукты питания	0	
2300860	4809010441256	Chacha 10x 10g	1	Неклассифицированные/default	0	
4811087	073555255089	Chacha tbl 72x36 an top sil bs 2550ansl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811088	073555255041	Chacha tbl 72x36 wh top sil bs 2550dwsl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811089	073555255287	Chacha tbl 72x42 an top sil bs 2552ansl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811090	073555255249	Chacha tbl 72x42 wh top sil bs 2552dwsl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811091	073555255386	Chacha tbl 82x42 an top sil bs 2553ansl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811092	073555255348	Chacha tbl 82x42 wh top sil bs 2553dwsl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811093	073555255188	Chacha tbl 84x36 an top sil bs 2551ansl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811094	073555255140	Chacha tbl 84x36 wh top sil bs 2551dwsl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811095	073555251685	Chacha teaming table-fixedhght 2516ansl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
4811096	073555251647	Chacha teaming table-fixedhght 2516dwsl	4806396	Канцелярские товары (folder)/Office Equipment	2384273	Safco
